景区名称,主题1关键词,主题2关键词,聚类标签
重庆人民大礼堂及人民广场,"['大礼堂', '人民', '博物馆', '建筑', '三峡', '重庆市', '广场', '对面', '中国', '天坛']","['建筑', '大礼堂', '博物馆', '人民', '三峡', '值得', '天坛', '参观', '对面', '进去']",4
重庆歌乐山森林公园,"['歌乐山', '景色', '森林公园', '上山', '沙坪坝', '公园', '爬山', '周末', '登山', '缆车']","['歌乐山', '白公馆', '爬山', '渣滓洞', '国家森林公园', '索道', '森林', '重庆市', '氧吧', '天然']",2
重庆缙云山景区,"['缙云山', '缙云', '爬山', '狮子', '便宜', '上山', '景色', '健身', '天然', '巴山']","['缙云山', '北碚', '狮子', '索道', '北碚区', '山上', '位于', '景色', '空气清新', '重庆市']",2
重庆北泉风景区,"['温泉', '环境', '明代', '圣殿', '公园', '景色', '嘉陵江', '当年', '服务', '园内']","['温泉', '服务', '缙云山', '值得', '价格', '怡人', '环境', '改进', '嘉陵江', '舒服']",2
重庆南山植物园,"['南山', '植物', '植物园', '温室', '重庆市', '春天', '特别', '位于', '花期', '适合']","['温室', '樱花', '植物园', '植物', '南山', '值得', '周末', '季节', '很漂亮', '郁金香']",2
重庆乐和乐都景区,"['设施', '喜欢', '值得', '乐园', '水上', '孩子', '挺好玩', '表演', '小朋友', '下次']","['开心', '项目', '刺激', '适合', '<empty>', '夏天', '水上', '冲浪', '总体', '设施']",4
重庆丰都雪玉洞景区,"['溶洞', '雪玉洞', '洞内', '丰都', '洁白', '景点', '景色', '景观', '世界', '生长']","['值得', '景色', '雪玉洞', '钟乳石', '溶洞', '导游', '大自然', '小时', '洞里', '奇观']",2
重庆云阳张飞庙,"['张飞庙', '张飞', '建筑', '历史', '云阳', '导游', '文化', '值得', '景色', '三峡']","['张飞庙', '张飞', '值得', '云阳', '搬迁', '三国', '历史', '景点', '蜀汉', '庙宇']",4
重庆黔江小南海旅游景区,"['黔江', '土家族', '苗族', '民俗馆', '历史', '民俗文化', '吊脚楼', '民居', '文化', '夹溪']","['黔江', '苗族', '土家族', '婚嫁', '性价比', '吊脚楼', '文化', '习俗', '一带', '民俗馆']",4
重庆湖广会馆,"['会馆', '湖广', '历史', '建筑', '特色', '文化', '移民', '四川', '公所', '广东']","['值得', '会馆', '景点', '建筑', '拍照', '景色', '<empty>', '一去', '历史', '湖广']",2
重庆磁器口古镇,"['古镇', '磁器', '麻花', '小吃', '特色', '值得', '火锅', '好吃', '特别', '景点']","['磁器', '古镇', '文化', '嘉陵江', '重庆市', '位于', '码头', '历史', '传统', '沙坪坝区']",3
重庆统景温泉风景区,"['温泉', '环境', '服务', '统景', '水质', '冲浪', '下次', '池子', '值得', '喜欢']","['温泉', '池子', '服务', '舒服', '泡温泉', '环境', '设施', '值得', '冲浪', '开心']",0
重庆中国三峡博物馆,"['博物馆', '三峡', '文物', '展览', '中国', '历代', '城市', '展厅', '时间', '参观']","['博物馆', '三峡', '历史', '大礼堂', '人民', '文化', '参观', '中国', '展厅', '免费']",1
重庆洪崖洞民俗风貌区,"['崖洞', '特色', '风貌', '建筑', '吊脚楼', '重庆市', '山城', '嘉陵江', '解放碑', '民俗']","['崖洞', '夜景', '晚上', '值得', '景点', '景色', '特色', '打卡', '特别', '漂亮']",1
重庆海兰云天温泉度假区,"['温泉', '环境', '干净', '特别', '服务', '周边', '还要', '小吃', '人少', '水质']","['环境', '值得', '总体', '温泉', '池子', '适合', '喜欢', '舒服', '景色', '性价比']",2
重庆贝迪颐园温泉度假区,"['温泉', '环境', '服务', '池子', '干净', '冲浪', '水果', '水质', '毛巾', '下次']","['满意', '池子', '免费', '表妹', '二楼', '前台', '环境优美', '冲浪', '温泉', '中午']",3
重庆科技馆,"['科技馆', '孩子', '小朋友', '特别', '知识', '喜欢', '免费', '东西', '适合', '设施']","['科技', '科技馆', '值得', '展厅', '孩子', '适合', '交通', '生活', '项目', '知识']",0
重庆观音桥商圈都市旅游区,"['喷泉', '服务', '潮流', '性价比', '喜欢', '年轻', '景色', '趣味', '吃喝玩乐', '音乐']","['观音桥', '步行街', '热闹', '商圈', '好吃', '解放碑', '商场', '购物', '美食', '交通']",1
重庆华岩旅游区,"['岩寺', '华岩', '位于', '风景区', '重庆市', '九龙坡区', '寺庙', '适合', '景色', '岩洞']","['岩寺', '值得', '香火', '荷花', '寺庙', '很大', '景色', '免费', '寺院', '一去']",4
重庆龚滩景区,"['古镇', '乌江', '龚滩', '画廊', '历史', '百里', '酉阳', '位于', '景色', '蓬江']","['古镇', '龚滩', '乌江', '景色', '值得', '小镇', '特色', '历史', '性价比', '商业化']",4
重庆加勒比海水世界景区,"['项目', '设施', '孩子', '开心', '冲浪', '特别', '玩得', '值得', '排队', '<empty>']","['项目', '刺激', '冲浪', '设施', '值得', '开心', '小孩', '喜欢', '总体', '适合']",4
重庆石柱大风堡景区,"['玻璃', '廊桥', '森林', '景点', '旅游', '景色', '坑人', '石柱', '植被', '一路上']","['大风', '凉快', '玻璃', '观光车', '廊桥', '景色', '爬山', '值得', '重庆市', '避暑']",2
重庆万州大瀑布群旅游区,"['瀑布', '壮观', '万州', '值得', '景色', '特别', '栈道', '景点', '水帘洞', '很大']","['瀑布', '万州', '瀑布群', '亚洲', '规模', '第一', '旅游', '游客', '观看', '性价比']",0
重庆綦江古剑山风景区,"['古剑山', '避暑', '綦江', '夏天', '爬山', '主城', '重庆市', '凉快', '运动', '休闲']","['古剑山', '綦江', '景色', '适合', '云海', '氧吧', '仿佛', '爬山', '山上', '净音']",4
重庆长寿湖旅游区,"['长寿', '景色', '景点', '坐船', '长寿区', '天气', '项目', '值得', '公园', '观光车']","['长寿', '值得', '环境', '适合', '游玩', '很漂亮', '项目', '公园', '很大', '景色']",2
重庆巫溪红池坝景区,"['景色', '冬天', '滑雪', '红池坝', '值得', '夏天', '花海', '滑雪场', '凉快', '避暑']","['红池坝', '避暑', '旅游', '值得', '住宿', '温度', '春观', '山花', '好去处', '红池']",0
重庆白鹤梁水下博物馆景区,"['讲解', '水下', '值得', '博物馆', '历史', '好好', '免费', '知识', '参观', '一去']","['水下', '博物馆', '白鹤梁', '值得', '世界', '涪陵', '长江', '参观', '水文', '历史']",4
重庆永川茶山竹海旅游景区,"['竹海', '竹子', '茶山', '特别', '景色', '十面埋伏', '喜欢', '竹林', '公里', '永川']","['竹海', '十面埋伏', '景点', '茶山', '特别', '永川', '景色', '竹林', '时间', '空气清新']",0
重庆合川钓鱼城景区,"['历史', '值得', '钓鱼', '景点', '景色', '蒙古', '一去', '世界', '合川', '意义']","['钓鱼', '合川', '遗址', '历史', '嘉陵江', '景点', '古战场', '城墙', '南宋', '游客']",0
