景点,日期,用户评论
古窑民俗博览区,2024-07-10IP属地：天津,景德镇古窑民俗博览区是一片很大的区域，整体像一座大花园，里边有不同的区域，有一部分民宅是从其他地区整体迁移过来的，还有一部分可以烧窑制作，现场可以diy尝试，并且在景区内有各种形制的窑的介绍和实体窑口，可以丰富很多关于关于瓷器制作的知识，也有商品售卖，在水的亭子了，固定时间还有瓷器制作的乐器音乐表演，很有意思。
古窑民俗博览区,2024-07-06IP属地：江西,国内唯一的一个以陶瓷为主题的5A景区，了解瓷器烧制的过程，另外各种窑型，完整的过程都可以看到，还有国家级文物。整个景区徽派建筑为主，园林一般的景色，适合休闲游。带着孩子学学历史，很不错。
古窑民俗博览区,2024-06-26IP属地：四川,非常值得去的一地，可以了解到陶瓷的生产过程，知识性更强，尤其是带孩子去了解陶瓷的72道工序，非常值得实践！对于热爱陶瓷艺术的人，也是一个很好的了解窗口！
古窑民俗博览区,2024-05-03IP属地：江西,古窑、古作坊、古工艺、古窑房、古园林、瓷乐队，体验区，互动区，不同年龄层次都可以找到快乐，天青色慵懒的午后，慢下来的青浅时光…….
古窑民俗博览区,2024-07-21IP属地：四川,很大一个园区，修得也挺漂亮，处处可见瓷文化元素。除了原装镇窑，还有仿建的狮子窑、葫芦窑、馒头窑、龙窑，很直观的就明白了它们的名字由来和区别。园内的作坊是手工艺人工作台+店铺的设计，可以观看他们工作。被刘松林老师的龙船吸引，和他聊了很久的天，解开了前几天参观陶瓷博物馆时的一些困惑。拉坯的作坊可以花三十元体验，师傅会手把手教你，看上去很丝滑解压的工序，原来差之毫厘便会前功尽弃。一道工序尚如此，要制作完成一件精品，在过去，不知要耗费多少时间和心血。来景德镇几天忍了几次没买的瓷器，终于也在这里买了。因为在这里能看到制作这件瓷器的人。器物之美，在人不在物，瓷器的温润细腻，典雅柔丽，最终，还是人赋予的。
古窑民俗博览区,2024-06-25IP属地：江西,雨天人不多，感受景德镇瓷都的魅力，各个朝代的发展历史，结合景德镇博物馆一起看，更震撼。建议2个景点可以一天看，离得不远，打车不到十块钱。
古窑民俗博览区,2024-07-17IP属地：江西,环境不错，园区也很大，工作日去的人很少，工作人员热。有问必答，标识牌也很清楚，里边有各种各样的陶瓷窑，是了解景德镇陶瓷历史很好的地方。
古窑民俗博览区,2024-07-17IP属地：江西,环境不错，园区也很大，工作日去的人很少，工作人员热。有问必答，标识牌也很清楚，里边有各种各样的陶瓷窑，是了解景德镇陶瓷历史很好的地方。
古窑民俗博览区,2024-07-11IP属地：浙江,值得一去，名不虚传。让孩子体验了传统文化的魅力，孩子也学到了不少有关瓷器的知识。很多以前没看到过的东西，有很多类型的古窑
古窑民俗博览区,2024-06-23IP属地：江西,非常值得去的一个博物馆，非遗传承人现场演绎古窑烧陶瓷步骤，带小孩去体验现场更好！可以了解一个磁器从土到成品的72道工序。
古窑民俗博览区,2024-03-27IP属地：江西,雨天前往，游客不多，瓷器文化气息扑面而来，从采石，制作各个环节到销售，商会等等，介绍得很详细，各种年代的古窑复原很逼真，可惜的是快到闭馆时间，咖啡没有喝成
古窑民俗博览区,2024-07-22IP属地：江苏,里面有艺人在实际制作 非常有代入感。里面的东西很贵，但是确实物有所值。
古窑民俗博览区,2024-07-22IP属地：江苏,里面的窑有好几种，进去看了，非常有感觉，里面还有卖，非常好的地方。
古窑民俗博览区,2024-06-20IP属地：江西,景色宜人，就是卖货的太多了
古窑民俗博览区,2024-03-11IP属地：北京,体验不错，值得一去，能真实的看到制瓷的整个过程，各种古窑，景区环境很好，拍照打卡很漂亮。建议请个讲解能更详细的了解瓷器文化。讲解建议改为耳机模式
古窑民俗博览区,2024-04-23IP属地：上海,AAAAA级景区环境优美，有山有水，有亭台楼阁，园子挺大的，访窑古道，亭台楼阁，四合大院，门口有仿12首的喷水潭，需要半天的时间才能全部逛完。
古窑民俗博览区,2024-03-11IP属地：北京,景区环境不错，拍照很漂亮，以实物展示了书中的制瓷过程，展现各种古窑。建议请讲解能了解的更多，但扩音式讲解体验感不好，总是跟随并围着很多蹭听的。
古窑民俗博览区,2024-03-20IP属地：江西,很大的一个以陶瓷文化为主题的公园，有园林景致，也有陶瓷文化展示，还有陶瓷制品的销售（绝对不强制，很佛系），还有陶瓷文化的体验！蛮好的，票价95略贵吧，消费能力不同，见仁见智。
古窑民俗博览区,2024-03-24IP属地：天津,景区还可以，有室内室外的，主要还是室外的各种窑，长知识了还有体验项目，天气好的情况下，可以出来转转，确实景色不错，票价小贵，哈哈！！
古窑民俗博览区,2024-01-27IP属地：江西,宠物友好！工作人员都非常nice！ 景区将瓷器制作过程及工艺完整清晰的展示给游客，非常具有科普意义。淡季人不多，值得静下心慢慢逛。
古窑民俗博览区,2024-01-27IP属地：江苏,很不错的，古色古香的民俗博览区，人不多，体验感非常好，可以了解瓷器的制作过程，感受到古代劳动人民的智慧结晶，工作人员有礼貌。
古窑民俗博览区,2024-07-09IP属地：江苏,很值得一去，赞一个👍……能够看到瓷器的成型过程，很是美妙，带小朋友去就更好了。传统与文化的结合、沉淀、传承、值得走一趟。
