x,y,z
0.00,0.00,24.40
0.02,0.00,24.12
0.04,0.00,23.85
0.06,0.00,23.59
0.08,0.00,23.34
0.10,0.00,23.10
0.12,0.00,22.88
0.14,0.00,22.67
0.16,0.00,22.46
0.18,0.00,22.27
0.20,0.00,22.10
0.22,0.00,21.93
0.24,0.00,21.77
0.26,0.00,21.63
0.28,0.00,21.50
0.30,0.00,21.38
0.32,0.00,21.27
0.34,0.00,21.17
0.36,0.00,21.08
0.38,0.00,21.01
0.40,0.00,20.94
0.42,0.00,20.89
0.44,0.00,20.85
0.46,0.00,20.82
0.48,0.00,20.81
0.50,0.00,20.80
0.52,0.00,20.81
0.54,0.00,20.82
0.56,0.00,20.85
0.58,0.00,20.89
0.60,0.00,20.94
0.62,0.00,21.01
0.64,0.00,21.08
0.66,0.00,21.17
0.68,0.00,21.27
0.70,0.00,21.38
0.72,0.00,21.50
0.74,0.00,21.63
0.76,0.00,21.77
0.78,0.00,21.93
0.80,0.00,22.10
0.82,0.00,22.27
0.84,0.00,22.46
0.86,0.00,22.67
0.88,0.00,22.88
0.90,0.00,23.10
0.92,0.00,23.34
0.94,0.00,23.59
0.96,0.00,23.85
0.98,0.00,24.12
1.00,0.00,24.40
1.02,0.00,24.69
1.04,0.00,25.00
1.06,0.00,25.32
1.08,0.00,25.64
1.10,0.00,25.98
1.12,0.00,26.34
1.14,0.00,26.70
1.16,0.00,27.07
1.18,0.00,27.46
1.20,0.00,27.86
1.22,0.00,28.26
1.24,0.00,28.69
1.26,0.00,29.12
1.28,0.00,29.56
1.30,0.00,30.02
1.32,0.00,30.48
1.34,0.00,30.96
1.36,0.00,31.45
1.38,0.00,31.95
1.40,0.00,32.46
1.42,0.00,32.99
1.44,0.00,33.52
1.46,0.00,34.07
1.48,0.00,34.63
1.50,0.00,35.20
1.52,0.00,35.78
1.54,0.00,36.38
1.56,0.00,36.98
1.58,0.00,37.60
1.60,0.00,38.22
1.62,0.00,38.86
1.64,0.00,39.51
1.66,0.00,40.18
1.68,0.00,40.85
1.70,0.00,41.54
1.72,0.00,42.23
1.74,0.00,42.94
1.76,0.00,43.66
1.78,0.00,44.39
1.80,0.00,45.14
1.82,0.00,45.89
1.84,0.00,46.66
1.86,0.00,47.43
1.88,0.00,48.22
1.90,0.00,49.02
1.92,0.00,49.84
1.94,0.00,50.66
1.96,0.00,51.50
1.98,0.00,52.34
2.00,0.00,53.20
2.02,0.00,54.07
2.04,0.00,54.95
2.06,0.00,55.84
2.08,0.00,56.75
2.10,0.00,57.66
2.12,0.00,58.59
2.14,0.00,59.53
2.16,0.00,60.48
2.18,0.00,61.44
2.20,0.00,62.42
2.22,0.00,63.40
2.24,0.00,64.40
2.26,0.00,65.41
2.28,0.00,66.42
2.30,0.00,67.46
2.32,0.00,68.50
2.34,0.00,69.55
2.36,0.00,70.62
2.38,0.00,71.70
2.40,0.00,72.78
2.42,0.00,73.88
2.44,0.00,75.00
2.46,0.00,76.12
2.48,0.00,77.25
2.50,0.00,78.40
2.52,0.00,79.56
2.54,0.00,80.73
2.56,0.00,81.91
2.58,0.00,83.10
2.60,0.00,84.30
2.62,0.00,85.52
2.64,0.00,86.75
2.66,0.00,87.98
2.68,0.00,89.23
2.70,0.00,90.50
2.72,0.00,91.77
2.74,0.00,93.05
2.76,0.00,94.35
2.78,0.00,95.66
2.80,0.00,96.98
2.82,0.00,98.31
2.84,0.00,99.65
2.86,0.00,101.00
2.88,0.00,102.37
2.90,0.00,103.74
2.92,0.00,105.13
2.94,0.00,106.53
2.96,0.00,107.94
2.98,0.00,109.37
3.00,0.00,110.80
3.02,0.00,112.25
3.04,0.00,113.70
3.06,0.00,115.17
3.08,0.00,116.65
3.10,0.00,118.14
3.12,0.00,119.65
3.14,0.00,121.16
3.16,0.00,122.69
3.18,0.00,124.23
3.20,0.00,125.78
3.22,0.00,127.34
3.24,0.00,128.91
3.26,0.00,130.49
3.28,0.00,132.09
3.30,0.00,133.70
3.32,0.00,135.31
3.34,0.00,136.94
3.36,0.00,138.59
3.38,0.00,140.24
3.40,0.00,141.90
3.42,0.00,143.58
3.44,0.00,145.27
3.46,0.00,146.97
3.48,0.00,148.68
3.50,0.00,150.40
3.52,0.00,152.13
3.54,0.00,153.88
3.56,0.00,155.64
3.58,0.00,157.40
3.60,0.00,159.18
3.62,0.00,160.98
3.64,0.00,162.78
3.66,0.00,164.59
3.68,0.00,166.42
3.70,0.00,168.26
3.72,0.00,170.10
3.74,0.00,171.97
3.76,0.00,173.84
3.78,0.00,175.72
3.80,0.00,177.62
3.82,0.00,179.52
3.84,0.00,181.44
3.86,0.00,183.37
3.88,0.00,185.31
3.90,0.00,187.26
3.92,0.00,189.23
3.94,0.00,191.20
3.96,0.00,193.19
3.98,0.00,195.19
4.00,0.00,197.20
0.00,0.02,24.32
0.02,0.02,24.04
0.04,0.02,23.77
0.06,0.02,23.51
0.08,0.02,23.27
0.10,0.02,23.03
0.12,0.02,22.81
0.14,0.02,22.60
0.16,0.02,22.39
0.18,0.02,22.21
0.20,0.02,22.03
0.22,0.02,21.86
0.24,0.02,21.71
0.26,0.02,21.56
0.28,0.02,21.43
0.30,0.02,21.31
0.32,0.02,21.20
0.34,0.02,21.10
0.36,0.02,21.02
0.38,0.02,20.94
0.40,0.02,20.88
0.42,0.02,20.83
0.44,0.02,20.79
0.46,0.02,20.76
0.48,0.02,20.74
0.50,0.02,20.74
0.52,0.02,20.74
0.54,0.02,20.76
0.56,0.02,20.79
0.58,0.02,20.83
0.60,0.02,20.88
0.62,0.02,20.94
0.64,0.02,21.02
0.66,0.02,21.10
0.68,0.02,21.20
0.70,0.02,21.31
0.72,0.02,21.43
0.74,0.02,21.56
0.76,0.02,21.71
0.78,0.02,21.86
0.80,0.02,22.03
0.82,0.02,22.21
0.84,0.02,22.39
0.86,0.02,22.60
0.88,0.02,22.81
0.90,0.02,23.03
0.92,0.02,23.27
0.94,0.02,23.51
0.96,0.02,23.77
0.98,0.02,24.04
1.00,0.02,24.32
1.02,0.02,24.61
